Homewood South,-3
Mount Washington,-2
Greenfield,-1
Hazelwood,-2
Larimer,0
Perry South,-1
East Hills,-2
Lower Lawrenceville,1
Crawford-Roberts,-2
Marshall-Shadeland,-6
Bloomfield,-2
Central Lawrenceville,-1
East Liberty,-3
Banksville,2
Strip District,-2
Central Northside,-6
Shadyside,-8
California-Kirkbride,1
Elliott,-2
Friendship,-1
Esplen,-1
Bluff,-1
Carrick,-6
Morningside,-1
Perry North,-3
South Side Slopes,-1
East Allegheny,-5
Upper Lawrenceville,-3
Lincoln-Lemington-Belmar,-2
Middle Hill,-4
Brighton Heights,-4
Mt. Oliver,-1
South Side Flats,-4
North Oakland,-2
Stanton Heights,-2
Bedford Dwellings,-2
Brookline,-2
Homewood West,-1
Central Oakland,-2
South Oakland,-7
Homewood North,-7
Polish Hill,-1
Troy Hill,-5
Manchester,-3
Garfield,-1
Chartiers City,-1
Chateau,-1
Fineview,-1
Allentown,-4
Arlington Heights,-2
Beltzhoover,-9
Knoxville,-2
North Shore,-1
South Shore,-1
Terrace Village,-1
Sheraden,-8
Summer Hill,-1
Windgap,-2
Upper Hill,-4
Spring Hill-City View,-2
Northview Heights,-5
Allegheny Center,-2
Beechview,-3
Point Breeze,-5
West Oakland,-1
